,tickers,Time of Creation,count
620,AMC,2021-03-10,56
631,AMC,2021-03-11,27
681,AMC,2021-03-12,7
721,AMC,2021-03-13,3
633,AMC,2021-03-14,27
625,AMC,2021-03-15,33
630,AMC,2021-03-16,28
766,AMC,2021-03-17,2
765,AMC,2021-03-28,2
720,AMC,2021-03-29,3
678,AMC,2021-03-30,8
715,AMC,2021-04-01,4
884,AMC,2021-04-02,1
883,AMC,2021-04-03,1
882,AMC,2021-04-04,1
719,AMC,2021-04-05,3
817,AMC,2021-04-07,1
716,AMC,2021-04-14,4
657,AMC,2021-04-15,12
677,AMC,2021-04-16,8
699,AMC,2021-04-17,5
818,AMC,2021-04-19,1
819,AMC,2021-04-21,1
820,AMC,2021-04-22,1
821,AMC,2021-04-23,1
822,AMC,2021-04-24,1
723,AMC,2021-04-27,3
700,AMC,2021-04-28,5
823,AMC,2021-05-04,1
718,AMC,2021-05-05,3
724,AMC,2021-05-06,3
763,AMC,2021-05-07,2
824,AMC,2021-05-08,1
762,AMC,2021-05-09,2
761,AMC,2021-05-10,2
652,AMC,2021-05-11,14
760,AMC,2021-05-12,2
676,AMC,2021-05-13,8
717,AMC,2021-05-14,4
825,AMC,2021-05-15,1
826,AMC,2021-05-16,1
675,AMC,2021-05-17,8
682,AMC,2021-05-18,7
734,AMC,2021-05-19,3
827,AMC,2021-05-20,1
828,AMC,2021-05-22,1
757,AMC,2021-05-23,2
733,AMC,2021-05-24,3
732,AMC,2021-05-25,3
628,AMC,2021-05-26,31
622,AMC,2021-05-27,40
637,AMC,2021-05-28,24
647,AMC,2021-05-29,16
711,AMC,2021-05-30,4
731,AMC,2021-05-31,3
623,AMC,2021-06-01,38
621,AMC,2021-06-02,50
619,AMC,2021-06-03,62
634,AMC,2021-06-04,25
646,AMC,2021-06-05,17
666,AMC,2021-06-06,10
648,AMC,2021-06-07,16
640,AMC,2021-06-08,21
635,AMC,2021-06-09,24
632,AMC,2021-06-10,27
674,AMC,2021-06-11,8
710,AMC,2021-06-12,4
691,AMC,2021-06-13,5
656,AMC,2021-06-14,13
649,AMC,2021-06-15,15
653,AMC,2021-06-16,14
654,AMC,2021-06-17,14
650,AMC,2021-06-18,15
692,AMC,2021-06-19,5
687,AMC,2021-06-20,6
730,AMC,2021-06-21,3
670,AMC,2021-06-22,9
829,AMC,2021-06-23,1
693,AMC,2021-06-24,5
830,AMC,2021-06-25,1
831,AMC,2021-06-26,1
668,AMC,2021-06-27,10
832,AMC,2021-06-28,1
833,AMC,2021-06-29,1
694,AMC,2021-06-30,5
750,AMC,2021-07-01,2
749,AMC,2021-07-02,2
748,AMC,2021-07-03,2
673,AMC,2021-07-06,8
688,AMC,2021-07-07,6
834,AMC,2021-07-08,1
747,AMC,2021-07-09,2
709,AMC,2021-07-11,4
689,AMC,2021-07-12,6
835,AMC,2021-07-13,1
655,AMC,2021-07-14,13
746,AMC,2021-07-17,2
816,AMC,2021-07-18,1
708,AMC,2021-07-19,4
745,AMC,2021-07-20,2
815,AMC,2021-07-21,1
729,AMC,2021-07-23,3
814,AMC,2021-07-25,1
813,AMC,2021-07-29,1
794,AMC,2021-07-30,1
704,AMC,2021-08-05,4
728,AMC,2021-08-07,3
680,AMC,2021-08-08,7
727,AMC,2021-08-09,3
795,AMC,2021-08-14,1
756,AMC,2021-08-15,2
755,AMC,2021-08-18,2
796,AMC,2021-08-19,1
797,AMC,2021-08-21,1
697,AMC,2021-08-22,5
726,AMC,2021-08-23,3
754,AMC,2021-08-24,2
753,AMC,2021-08-26,2
685,AMC,2021-08-28,6
703,AMC,2021-08-30,4
798,AMC,2021-08-31,1
752,AMC,2021-09-01,2
799,AMC,2021-09-04,1
800,AMC,2021-09-06,1
751,AMC,2021-09-07,2
801,AMC,2021-09-08,1
725,AMC,2021-09-10,3
802,AMC,2021-09-17,1
793,AMC,2021-09-18,1
735,AMC,2021-09-19,3
803,AMC,2021-09-20,1
804,AMC,2021-09-27,1
805,AMC,2021-09-29,1
736,AMC,2021-09-30,3
806,AMC,2021-10-01,1
807,AMC,2021-10-03,1
808,AMC,2021-10-04,1
696,AMC,2021-10-05,5
809,AMC,2021-10-06,1
744,AMC,2021-10-07,3
786,AMC,2021-10-10,2
810,AMC,2021-10-11,1
686,AMC,2021-10-14,6
811,AMC,2021-10-15,1
701,AMC,2021-10-17,4
785,AMC,2021-10-18,2
784,AMC,2021-10-19,2
812,AMC,2021-10-26,1
836,AMC,2021-10-28,1
837,AMC,2021-10-31,1
838,AMC,2021-11-01,1
861,AMC,2021-11-02,1
658,AMC,2021-11-03,12
863,AMC,2021-11-11,1
743,AMC,2021-11-13,3
864,AMC,2021-11-20,1
787,AMC,2021-11-21,2
788,AMC,2021-11-23,2
865,AMC,2021-12-03,1
792,AMC,2021-12-09,2
742,AMC,2021-12-11,3
866,AMC,2021-12-12,1
867,AMC,2021-12-13,1
791,AMC,2021-12-14,2
868,AMC,2021-12-23,1
869,AMC,2021-12-28,1
870,AMC,2021-12-29,1
871,AMC,2021-12-31,1
872,AMC,2022-01-04,1
873,AMC,2022-01-05,1
874,AMC,2022-01-08,1
695,AMC,2022-01-11,5
875,AMC,2022-01-12,1
702,AMC,2022-01-13,4
876,AMC,2022-01-14,1
877,AMC,2022-01-15,1
878,AMC,2022-01-16,1
879,AMC,2022-01-18,1
880,AMC,2022-01-19,1
881,AMC,2022-01-20,1
790,AMC,2022-01-24,2
789,AMC,2022-01-27,2
