create_Time,ticker,count
10/14/2020,FSLY,2
10/14/2020,PTON,2
10/14/2020,NIO,2
10/14/2020,ABC,1
10/14/2020,DTE,1
10/14/2020,OR,1
10/14/2020,RKT,1
10/14/2020,TSLA,1
10/15/2020,FSLY,7
10/15/2020,GME,5
10/15/2020,CRSR,3
10/15/2020,AAPL,2
10/15/2020,FCF,1
10/15/2020,NET,1
10/16/2020,TSLA,5
10/16/2020,GME,4
10/16/2020,HYLN,3
10/16/2020,NIO,3
10/16/2020,AMZN,2
10/16/2020,HTZ,2
10/16/2020,FSLY,1
10/16/2020,AAPL,1
10/16/2020,IBKR,1
10/17/2020,NOK,6
10/17/2020,GME,2
10/17/2020,ELSE,1
10/17/2020,IT,1
10/17/2020,JMIA,1
10/17/2020,ME,1
10/17/2020,NYC,1
10/17/2020,OI,1
10/17/2020,REAL,1
10/17/2020,SAFE,1
10/17/2020,TSLA,1
10/17/2020,ZM,1
10/18/2020,GME,4
10/18/2020,TSLA,3
10/18/2020,DCF,3
10/18/2020,AMZN,2
10/18/2020,FSD,2
10/18/2020,AAPL,1
10/18/2020,AMD,1
10/18/2020,CSCO,1
10/18/2020,HTZ,1
10/19/2020,TSLA,1
10/20/2020,HTZ,2
10/20/2020,FDX,2
10/20/2020,AMZN,1
10/20/2020,CRSR,1
10/20/2020,GE,1
10/20/2020,TD,1
10/20/2020,ZM,1
10/21/2020,TSLA,3
10/21/2020,CBOE,2
10/21/2020,AAPL,2
10/21/2020,CEA,1
10/21/2020,AMC,1
10/21/2020,AMD,1
10/21/2020,ETN,1
10/21/2020,EVER,1
10/21/2020,GME,1
10/21/2020,PLUS,1
10/21/2020,PM,1
10/21/2020,SNAP,1
10/21/2020,YOU,1
10/22/2020,GME,2
10/22/2020,TSLA,2
10/22/2020,SNAP,1
10/22/2020,RKT,1
10/22/2020,INTC,1
10/22/2020,PTON,1
10/22/2020,REFI,1
10/23/2020,TSLA,2
10/23/2020,SNAP,2
10/23/2020,PTON,1
10/24/2020,NOK,5
10/24/2020,GME,2
10/24/2020,BABA,1
10/24/2020,LYFT,1
10/24/2020,MSFT,1
10/24/2020,SNAP,1
10/24/2020,ARE,1
10/25/2020,TSLA,2
10/25/2020,GME,1
10/25/2020,HTZ,1
10/25/2020,RNA,1
10/25/2020,SNAP,1
10/26/2020,GME,4
10/26/2020,SNAP,1
10/26/2020,TSLA,1
10/27/2020,GME,4
10/27/2020,AMD,3
10/27/2020,PLTR,2
10/27/2020,AGE,1
10/27/2020,ALL,1
10/27/2020,HOG,1
10/27/2020,HYLN,1
10/27/2020,JACK,1
10/27/2020,LIFE,1
10/27/2020,TSLA,1
10/27/2020,YOU,1
10/28/2020,UPS,2
10/28/2020,AMD,1
10/29/2020,PINS,5
10/29/2020,GME,1
10/29/2020,NIO,1
10/29/2020,OR,1
10/30/2020,GME,3
10/30/2020,TSLA,2
10/30/2020,AMD,1
11/1/2020,BK,1
11/2/2020,NIO,5
11/2/2020,AAPL,1
11/2/2020,ET,1
11/2/2020,MCD,1
11/2/2020,PDT,1
11/2/2020,WE,1
11/3/2020,NIO,2
11/3/2020,AMD,1
11/3/2020,GAME,1
11/4/2020,NIO,2
11/4/2020,AMZN,1
11/4/2020,C,1
11/4/2020,TSLA,1
11/6/2020,NIO,3
11/6/2020,V,2
11/6/2020,PLTR,2
11/6/2020,III,1
11/6/2020,MA,1
11/7/2020,TSLA,5
11/7/2020,MU,2
11/7/2020,HTZ,2
11/7/2020,SNAP,2
11/7/2020,SPCE,2
11/7/2020,ALL,1
11/7/2020,AMC,1
11/7/2020,DM,1
11/7/2020,FREE,1
11/7/2020,LIFE,1
11/7/2020,NIO,1
11/7/2020,PLTR,1
11/7/2020,ROKU,1
11/8/2020,NIO,5
11/8/2020,RKT,2
11/8/2020,TSLA,1
11/8/2020,TLRY,1
11/8/2020,NKLA,1
11/9/2020,PLTR,2
11/9/2020,C,1
11/9/2020,INO,1
11/9/2020,IRL,1
11/9/2020,NIO,1
11/9/2020,TD,1
11/9/2020,UP,1
11/9/2020,AMZN,1
11/9/2020,BYND,1
11/10/2020,GME,2
11/10/2020,LIFE,1
11/10/2020,AMC,1
11/10/2020,BA,1
